model,best_cv_mae,runtime_seconds,best_params
XGBRegressor,1.2332301753759385,4.557417900000019,"{'model__subsample': 0.9, 'model__n_estimators': 250, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}"
GradientBoostingRegressor,1.2372808533336077,29.91360339999983,"{'model__n_estimators': 100, 'model__min_samples_leaf': 3, 'model__max_depth': 3, 'model__learning_rate': 0.1}"
RandomForestRegressor,1.240400221982542,104.26681669999994,"{'model__n_estimators': 350, 'model__min_samples_leaf': 5, 'model__max_features': 0.7, 'model__max_depth': 8}"
SVR,1.268273615204376,65.17791289999968,"{'model__gamma': 0.03, 'model__epsilon': 0.25, 'model__C': 1}"
