boosting_iteration,validation_mse
1,15.31476934580378
2,14.245446421739041
3,13.27222560522094
4,12.407743733507546
5,11.583762695948
6,10.85337499843488
7,10.180483642320064
8,9.555354816558625
9,8.986600910637804
10,8.482864384063578
11,7.994682257711027
12,7.567354821577795
13,7.159016877892164
14,6.8067408482621214
15,6.461435582300668
16,6.147927326489582
17,5.845546873226133
18,5.596732384153429
19,5.353576871381863
20,5.138184083204029
21,4.962847225647087
22,4.77133617221957
23,4.605698029724177
24,4.449091597982482
25,4.317073397178733
26,4.187684857171298
27,4.072213326705793
28,3.9822380976717704
29,3.8996724735928283
30,3.805519200388151
31,3.7265158880363956
32,3.6479829341611723
33,3.5758706437862258
34,3.5053996893817247
35,3.440314222996075
36,3.3839229136421545
37,3.3353499317114736
38,3.2955311345059637
39,3.255137190130618
40,3.2165238216390364
41,3.184120716576349
42,3.1470395629260968
43,3.1140369052962775
44,3.083701693779629
45,3.0535212429489995
46,3.031684793508601
47,3.01363095745745
48,2.99334421503144
49,2.9737340028781145
50,2.9535389940501706
51,2.9356913582284476
52,2.9182865947932415
53,2.905806007605338
54,2.893902071550399
55,2.8811478282831438
56,2.8725721171573433
57,2.8588632198596624
58,2.8466268211733414
59,2.8342817091338777
60,2.822688627419485
61,2.813397514864848
62,2.8072481273980103
63,2.802969383900423
64,2.7975370214983633
65,2.7929021133185863
66,2.7853151071452875
67,2.7787017711553643
68,2.773760959045774
69,2.7678345145491856
70,2.763013112352595
71,2.7615340505609383
72,2.75803257317505
73,2.7522707216484137
74,2.7484085745654663
75,2.745962116252591
76,2.7436649759303062
77,2.7426652192183503
78,2.7388775687010094
79,2.7392441180070812
80,2.7374426262885954
81,2.733983521588124
82,2.7310213188042916
83,2.727524821311992
84,2.72782433859917
85,2.726041966714466
86,2.7234568111116504
87,2.719927941673387
88,2.718663023572352
89,2.7200525500339423
90,2.7201751301097556
91,2.719513192967437
92,2.717362898358786
93,2.717967702674072
94,2.716771051352265
95,2.7161253486990797
96,2.7155852345645752
97,2.715771069636298
98,2.7136102444537693
99,2.712907604604202
100,2.7143368323104804
101,2.7135253051897643
102,2.7119234891980906
103,2.710276748400613
104,2.709825583560268
105,2.7086342568331236
106,2.706653667144737
107,2.708206159951154
108,2.7083964656104245
109,2.7067829799081013
110,2.70526537429792
111,2.7058445311219237
112,2.704427251492977
113,2.7033017116991065
114,2.7026362890050653
115,2.704258759774347
116,2.703693752443076
117,2.703309037701227
118,2.703874444829421
119,2.7026509204655635
120,2.701633756032017
121,2.700450506021858
122,2.6999166691671754
123,2.700174783579945
124,2.6995577877258157
125,2.6986104132406736
126,2.6971556650764406
127,2.696578804022656
128,2.6960788460374197
129,2.6976981804566065
130,2.6959217151572084
131,2.696206937821322
132,2.695956864827136
133,2.6955155260146166
134,2.6953104857125574
135,2.6952551076972413
136,2.6948525393584175
137,2.6945093074420923
138,2.6943667120691996
139,2.694139144808762
140,2.695055348217897
141,2.694512253333336
142,2.694059921099287
143,2.6935854864561244
144,2.6930410852968416
145,2.6930483388001356
146,2.692628269085294
147,2.6918439867757846
148,2.6927319088759303
149,2.6923501237817518
150,2.6922823496441985
151,2.691197033579407
152,2.6904496151637503
153,2.690625481574033
154,2.6906553222797567
155,2.6905160280439295
156,2.690037834278197
157,2.689775505235709
158,2.689290348946258
159,2.689643541944766
160,2.689749792151786
161,2.689503620200882
162,2.6887208260721653
163,2.6888492380785056
164,2.6884142459146094
165,2.688491098333735
166,2.6893337157513892
167,2.688681979504671
168,2.6883977984788014
169,2.6879583729118366
170,2.6880691367830605
171,2.6878073721253743
172,2.688304262258581
173,2.687936985121785
174,2.687781107204052
175,2.6873215313562904
176,2.686900071984399
177,2.68644378293925
178,2.6859680649778577
179,2.6856988480871795
180,2.6851544473275464
181,2.6851875522952158
182,2.685808741500773
183,2.6858828689267735
184,2.686683537356031
185,2.685975536476438
186,2.6856272964979584
187,2.6853895297162116
188,2.6856402542921995
189,2.6860143254921365
190,2.6859704930304247
191,2.6859332898270276
192,2.685527857647933
193,2.6842762307234023
194,2.684293265902683
195,2.6840255386004284
196,2.683922514881393
197,2.6827815884432877
198,2.683155906297977
199,2.6834539502059473
200,2.6826797902336295
