boosting_iteration,validation_mse
1,15.748374446896836
2,15.031133856754284
3,14.35733328085509
4,13.730008676311785
5,13.151107067012925
6,12.597621006831499
7,12.06134366769585
8,11.557361997566241
9,11.084265948661699
10,10.6398368631718
11,10.20340547126683
12,9.781949152292944
13,9.38408247654984
14,9.01293226357142
15,8.652754578525508
16,8.311473230122127
17,8.002115162112052
18,7.70184799260294
19,7.424410803070031
20,7.1715873869156255
21,6.923812778233521
22,6.691335390693721
23,6.464388746853507
24,6.2525919224072535
25,6.056824207831786
26,5.874517767253729
27,5.696104836361024
28,5.530442078091986
29,5.3785654491691
30,5.229211756671546
31,5.089279599694113
32,4.9587033610108895
33,4.836953133676724
34,4.720453627193813
35,4.612901830309362
36,4.509585270359336
37,4.4095143023397165
38,4.31660543200355
39,4.229140598273661
40,4.143201126961481
41,4.063431065025223
42,3.9917015531404614
43,3.9233356533096595
44,3.8570394259566676
45,3.7957320595781785
46,3.7375977772491824
47,3.6804505544561557
48,3.628748094419374
49,3.579213805757314
50,3.5328991732526123
51,3.4885086549610715
52,3.4467489152827833
53,3.4080425349337693
54,3.3681753828516556
55,3.332002207407662
56,3.299199440356037
57,3.2686854092954056
58,3.236881992548902
59,3.2077640474296496
60,3.178572731283233
61,3.1518632070044514
62,3.125385651451921
63,3.102120030736047
64,3.0772764252734173
65,3.0570304563556916
66,3.035754025690776
67,3.015597693390573
68,2.999533526019988
69,2.983395014333722
70,2.9661280250632482
71,2.9510702867070573
72,2.9370726620047423
73,2.92426724749569
74,2.911294699568411
75,2.899664590150722
76,2.887008265547121
77,2.875300388767191
78,2.8654913632335224
79,2.8552152995711153
80,2.8441787955739892
81,2.836772382830211
82,2.82919259899034
83,2.821823092723538
84,2.8141369137592633
85,2.8077748080969975
86,2.8021622944654427
87,2.795842069278189
88,2.790708270083474
89,2.7846834092213997
90,2.779926658843397
91,2.774660799904201
92,2.768488779355215
93,2.7644846846422455
94,2.759249442973678
95,2.7548176294589406
96,2.750066221897642
97,2.7449032159749174
98,2.7415167451448057
99,2.737838478835156
100,2.7342339341545054
101,2.7312214556383623
102,2.7286286884620075
103,2.7254841313359344
104,2.722347300799462
105,2.720624269066189
106,2.719302624157754
107,2.7185016349646465
108,2.716774357112368
109,2.713840255311154
110,2.7118001414927124
111,2.709405844075103
112,2.7072136277911074
113,2.7072226421756516
114,2.705127126589141
115,2.704529804471109
116,2.701363653216819
117,2.6992127592311514
118,2.696910806455815
119,2.695458238669015
120,2.6943879535867836
121,2.6924795797073604
122,2.690716596391023
123,2.6896124536875012
124,2.687298162187253
125,2.6876688191721763
126,2.68689787926968
127,2.6845118030851465
128,2.6807373938118326
129,2.6796292123082
130,2.6798701737414143
131,2.679554486976187
132,2.6789582946510944
133,2.6787309643303563
134,2.6797015451499173
135,2.6797980694826213
136,2.680834854291983
137,2.6798869086952624
138,2.677249323416112
139,2.676496121267886
140,2.6770643739400275
141,2.676127186601884
142,2.676489582900864
143,2.675326508359647
144,2.674809175695134
145,2.672895743764393
146,2.672858840616959
147,2.6720975195121484
148,2.6729682398582932
149,2.6728167445800977
150,2.6725253781092317
151,2.672704641737706
152,2.673970505207655
153,2.675054819533665
154,2.674934488423485
155,2.675193924939005
156,2.676060190219541
157,2.674680570355235
158,2.6743063685584656
159,2.673801958785743
160,2.6734762548376603
161,2.6728517439883186
162,2.673163946804092
163,2.6714307967267867
164,2.6707775261594047
165,2.670763144413493
166,2.6705145334895546
167,2.670251973736746
168,2.6703369656344584
169,2.6698315482341965
170,2.6712356413559264
171,2.6707955310935816
172,2.6715733263302957
173,2.671110531483222
174,2.6704769494214293
175,2.670307239445718
176,2.6683436688865605
177,2.6682266455002086
178,2.668350848050379
179,2.6683298531510338
180,2.6690748347885784
181,2.669158700135689
182,2.667730364305435
183,2.6686173138399467
184,2.668078323349024
185,2.6680767843219235
186,2.667668001610298
187,2.6682126108007456
188,2.6684979359210557
189,2.6700253483138954
190,2.670567478388743
191,2.6708824252892702
192,2.671787038388136
193,2.671829161079837
194,2.669952963393587
195,2.6730473031876953
196,2.6726442851613155
197,2.673228411921611
198,2.6752350747743003
199,2.6753946134636766
200,2.675149543206264
201,2.6740842219051557
202,2.673908606173032
203,2.673534651943634
204,2.6721234653325876
205,2.6727357172763546
206,2.6725283008504683
207,2.6723298988222597
208,2.673287156688268
209,2.67400880701318
210,2.673682906675863
211,2.6734791860805855
212,2.672369242456443
213,2.6716826142021
214,2.6717036131349414
215,2.6716957413293967
216,2.671554817194059
217,2.6713770502816074
218,2.670630363157139
219,2.6701077338189383
220,2.669758247934351
221,2.666418661761456
222,2.6667040542057396
223,2.6666472692575796
224,2.6667925181422256
225,2.666977594281381
226,2.666900721097585
227,2.667423898617659
228,2.6672170873199303
229,2.6667458112274995
230,2.6675696470993007
231,2.6675158911989656
232,2.667029636503586
233,2.6673067305860028
234,2.6671701862207335
235,2.6671825004980563
236,2.6683914749331086
237,2.668212280665654
238,2.667237703939094
239,2.667319322230909
240,2.667120874875709
241,2.6670214156600953
242,2.667158028447917
243,2.6673070395053324
244,2.666880516321651
245,2.6661292528598293
246,2.665148610056736
247,2.6648413264126956
248,2.6649622976438914
249,2.6646354929192353
250,2.66544947503275
